Year,Litterfall - control (g C m-2)
1989,177.78
1990,165.30
1991,191.63
1992,169.46
1993,187.66
1994,196.29
1995,195.61
1996,192.56
1997,184.93
1998,185.30
1999,202.93
2000,175.62
2001,199.13
2002,178.03
2003,206.59
2004,193.17
2005,197.70
2006,133.64
2007,166.12
2008,192.63
2009,182.21
2010,157.62
2011,131.59
2012,182.18
2013,155.55
2014,184.21
2015,141.26
2016,181.76
