Date_control,Date_warming,CO2_control,CO2_warming,stdError_control,stedError_warming
14/04/2003,14/04/2003,0.973522960938965,0.790962726567563,0.076558455979074,0.0767647310110611
13/05/2003,13/05/2003,1.42905057113583,2.54856455216874,0.0899122487699365,0.170198772475972
10/06/2003,10/06/2003,2.29181864740383,3.85714348492756,0.159722430663612,0.330998684569653
15/07/2003,15/07/2003,2.79583628096941,2.98930445710059,0.26479271136209,0.156528138900604
11/08/2003,11/08/2003,4.49546716565215,4.85331430445781,0.373810822028817,0.401112133681136
17/09/2003,17/09/2003,3.12447493425219,3.72835862523454,0.277339937294552,0.26437300917226
15/10/2003,15/10/2003,2.70410507741509,3.17354391807259,0.169357572197936,0.173026234203791
21/11/2003,21/11/2003,1.33993680381037,1.64747402540565,0.118001422516686,0.128261435502303
21/04/2004,21/04/2004,1.02074918832327,1.60446716676433,0.077540528391938,0.0898245575585856
27/05/2004,27/05/2004,2.43533383954495,2.98263229784162,0.127741172095968,0.150459082323757
16/06/2004,16/06/2004,2.22377519769202,2.52975070667327,0.130876531625537,0.212980545130621
14/07/2004,14/07/2004,2.78966504728102,2.99847902451734,0.144189146213903,0.20453476040692
17/08/2004,17/08/2004,3.3908147100523,3.38514043000621,0.215861611691795,0.230254647201292
15/09/2004,15/09/2004,2.70615445393938,2.92915686016978,0.100546602499846,0.232637302479735
26/10/2004,26/10/2004,1.58734412729365,1.88588849407206,0.222361210550837,0.151895748816807
22/11/2004,22/11/2004,1.74621606454305,1.86569252776223,0.154864366260821,0.115965401647806
25/04/2005,25/04/2005,1.21675048030299,1.70252895447625,0.0889094877715004,0.0720600279281832
03/06/2005,03/06/2005,2.05358010930704,2.66033109176688,0.122023690714254,0.212542429757586
20/06/2005,20/06/2005,2.50147956743529,3.24788955774492,0.19976292972671,0.167567266239403
19/07/2005,19/07/2005,4.26348114459023,4.60194422031385,0.326509525655756,0.335387246110653
23/08/2005,23/08/2005,2.60929966571679,2.25775749091445,0.21163889613732,0.132590348500673
14/09/2005,14/09/2005,2.03350587038097,1.88647745507515,0.223963008549307,0.162364749304397
19/10/2005,19/10/2005,2.27936372984645,2.51904115617317,0.160212692798271,0.141656736276403
21/11/2005,21/11/2005,1.15473112414532,1.77400237702586,0.0905852295696351,0.21914220798229
10/04/2006,10/04/2006,0.985858641955725,1.11918604947076,0.109005449807153,0.114361504297653
17/05/2006,17/05/2006,1.81870420015712,2.30731668079063,0.102629596603716,0.11030324251952
12/06/2006,12/06/2006,2.47593234471712,2.57168465480337,0.174707514452318,0.19505564215914
14/07/2006,14/07/2006,3.45122441334815,3.26016376741362,0.145109662952071,0.184655522815098
08/08/2006,08/08/2006,3.37518923381218,2.72063075298856,0.21961747667201,0.127232216225566
26/09/2006,26/09/2006,2.46446649750625,2.49621730227851,0.124265506765482,0.158790896502042
31/10/2006,31/10/2006,1.86535600013053,2.32281503849144,0.142887061859556,0.199218920820411
20/11/2006,20/11/2006,1.38110922303673,1.5726491210443,0.142421861790633,0.0900340886446722
20/04/2007,20/04/2007,0.616081469000703,0.815649570126408,0.0394429708716926,0.0948289813216551
23/05/2007,23/05/2007,1.66228174160161,1.9000278552704,0.161747039058661,0.17162438994935
26/06/2007,26/06/2007,2.61744574243002,3.28031997404298,0.241413982935124,0.247452653871054
24/07/2007,24/07/2007,3.06596414479461,3.1038795745971,0.265621491153453,0.166175183142011
14/08/2007,14/08/2007,3.15710897706276,3.09532262558357,0.179134120347562,0.210935208328877
25/09/2007,25/09/2007,2.0250803412738,2.03540270904973,0.232522218143212,0.151966741171294
30/10/2007,30/10/2007,1.42337076273211,1.92542167921467,0.160585572304258,0.128468496963946
14/11/2007,14/11/2007,1.51988477022067,1.5830397353697,0.144591044293597,0.117695889410178
05/05/2008,05/05/2008,1.63393095432701,2.21449922271551,0.0393525091870214,0.114749467750053
20/05/2008,20/05/2008,1.30868396183242,1.66758006446098,0.0552388656761595,0.0850558420394102
17/06/2008,17/06/2008,2.93711174552126,3.24985925182239,0.194123890223405,0.107707892585997
15/07/2008,15/07/2008,3.26284513352372,3.16512530620895,0.386834557377338,0.106780162685985
20/08/2008,20/08/2008,3.13618640655033,2.8223374508822,0.312405593606161,0.116116854312352
16/09/2008,16/09/2008,4.52702596488775,4.49339848521078,0.394517492336361,0.339558899766103
23/10/2008,23/10/2008,1.39549056984165,1.70070616143053,0.0843183445002876,0.172531974529796
21/11/2008,21/11/2008,0.635512438335119,1.06519398358448,0.0480613502900716,0.125020383082006
13/04/2009,13/04/2009,0.908906298111275,1.35985353343271,0.0815273891777848,0.132271783838499
18/05/2009,18/05/2009,1.80179038295105,2.22508228571049,0.107768651802668,0.182799639041822
25/06/2009,25/06/2009,3.45124098144761,3.53907903754046,0.32949487749442,0.116101151543384
29/07/2009,29/07/2009,5.07866907885249,4.36356982527564,0.698756887772097,0.164912762009471
26/08/2009,26/08/2009,4.50539364715898,4.41419194515092,0.425810705680457,0.199512581613745
14/09/2009,14/09/2009,3.04754594443911,3.19102666226608,0.327709274374662,0.243725757794986
22/10/2009,22/10/2009,2.0708309771284,2.200261768978,0.156902768047219,0.050074661015737
17/11/2009,17/11/2009,1.42877187583571,1.46864936865214,0.0834200985994863,0.100884266147088
20/04/2010,20/04/2010,1.2709709963027,1.58113781142584,0.0882449902334837,0.0987439954302127
27/05/2010,27/05/2010,2.85571660937598,3.49976915210662,0.226280748973014,0.10959276876719
28/06/2010,28/06/2010,2.91427441591037,2.60276482836124,0.289865593855209,0.174054633099043
